Date,DCBF,DCDE,DCDS,DCIP,Diamond
2019-01-03,17819.18,15704.04,35866.3,,
2019-01-10,17856.73,15986.89,36472.72,,
2019-01-17,17890.5,15998.56,36762.22,,
2019-01-24,17885.56,16063.35,36765.84,,
2019-01-31,17913.11,16099.6,36859.69,,
2019-02-07,17975.66,16077.41,36854.41,,
2019-02-14,17985.2,16629.53,37901.02,,
2019-02-21,18044.0,17049.84,38827.15,,
2019-02-28,18073.29,16768.45,38209.93,,
2019-03-07,18095.65,17164.79,39020.29,,
2019-03-14,18104.39,17410.21,39571.3,,
2019-03-21,18157.73,16949.26,38692.63,,
2019-03-28,18185.39,16898.77,38615.0,,
2019-04-04,18189.0,17006.16,38739.56,,
2019-04-11,18240.27,16911.93,38543.86,,
2019-04-18,18266.73,16651.28,37976.7,,
2019-04-25,18267.87,16845.76,38347.56,,
2019-05-02,18295.55,17020.44,38652.74,,
2019-05-09,18324.12,16445.34,37620.09,,
2019-05-12,19318.6,,,,
2019-05-16,18357.74,16840.81,38276.69,,
2019-05-23,18384.46,17117.37,38823.7,,
2019-05-30,18412.27,16831.45,38290.07,,
2019-06-06,18467.78,16440.96,37538.9,,
2019-06-13,18450.36,16542.05,37702.0,,
2019-06-20,18481.32,16758.03,38147.37,,
2019-06-27,18572.32,16452.92,37633.45,,
2019-07-04,18648.8,16940.04,38596.87,,
2019-07-11,18678.06,17010.6,38741.2,,
2019-07-18,18672.81,17110.22,39099.56,,
2019-07-25,18699.99,17490.43,39885.03,,
2019-08-01,18732.04,17555.53,40065.49,,
2019-08-08,18764.26,17357.18,39953.88,,
2019-08-15,18794.76,17580.08,40509.05,,
2019-08-22,18829.44,17814.43,40926.72,,
2019-08-29,18862.25,17519.62,40419.23,,
2019-09-05,18887.37,17442.5,40175.31,,
2019-09-12,18922.93,17514.15,40286.62,,
2019-09-19,18950.44,18075.1,41450.22,,
2019-09-26,18976.85,17991.75,41321.76,,
2019-10-03,19001.73,18029.84,41450.97,,
2019-10-10,19038.75,17902.3,41190.88,,
2019-10-17,19056.85,17975.89,41348.35,,
2019-10-24,19077.15,18124.16,41736.73,,
2019-10-31,19125.51,18091.58,41652.06,,
2019-11-07,19148.91,18543.14,42537.25,,
2019-11-14,19186.28,18210.07,41834.88,,
2019-11-21,19256.12,17829.27,41048.53,,
2019-11-28,19245.3,17428.31,40279.89,,
2019-12-05,19318.6,17318.88,40057.68,,
2019-12-12,19285.33,17477.31,40475.31,,
2019-12-19,19379.72,17218.55,40001.51,,
2019-12-26,19424.45,17448.18,40532.94,,
2020-01-02,19460.99,17664.14,41030.86,,
2020-01-09,19491.93,17500.95,40703.68,,
2020-01-16,19485.56,17801.01,41298.5,,
2020-01-23,19513.25,18188.65,42121.95,,
2020-01-30,19544.03,17555.22,40901.7,,
2020-02-06,19568.61,17233.03,40407.53,,
2020-02-13,19598.91,17223.17,40426.99,,
2020-02-20,19627.63,17392.76,40952.86,,
2020-02-27,19654.03,16792.8,39829.38,,
2020-03-05,19772.8,16644.72,39522.26,,
2020-03-12,19847.81,13992.4,34154.75,,
2020-03-19,19758.26,13104.33,32555.57,,
2020-03-26,19776.88,12438.65,31139.19,,
2020-04-02,19803.15,12139.53,30470.51,,
2020-04-09,19834.91,13476.68,33305.29,,
2020-04-16,19863.0,13859.57,34185.6,,
2020-04-23,19887.41,13859.6,34342.14,,
2020-04-28,,,,,10866.61
2020-04-30,19893.92,13901.44,34371.99,,
2020-05-04,,,,,10772.59
2020-05-05,,,,,10800.09
2020-05-06,,,,,10985.66
2020-05-07,19898.34,14372.5,35274.91,,11146.26
2020-05-11,,,,,11693.36
2020-05-13,,,,,12138.29
2020-05-14,19927.56,15010.03,36501.17,,12037.99
2020-05-17,,,,,11857.02
2020-05-21,19947.39,15541.36,37682.07,,
2020-05-28,19966.03,15588.24,37754.58,,
2020-06-04,19989.41,16119.03,38826.46,,
2020-06-11,20005.15,15733.36,37920.83,,
2020-06-18,20035.77,15631.11,37643.46,,
2020-06-25,20061.95,15576.61,37565.21,,
2020-07-02,20086.21,15345.78,37167.51,,
2020-07-09,20109.76,15926.07,38353.77,,
2020-07-16,20126.13,15942.19,38462.82,,
2020-07-23,20145.49,15691.59,38101.98,,
2020-07-30,20169.77,14635.4,35961.48,,
2020-08-06,20212.86,15381.4,37639.24,,
2020-08-13,20238.21,15773.51,38434.95,,
2020-08-20,20254.99,15719.95,38401.63,,
2020-08-27,20277.13,16317.02,39602.78,,
2020-09-03,20303.19,16676.94,40289.87,,
2020-09-06,,,,,12884.58
2020-09-07,,,,,12507.45
2020-09-09,,,,,12663.39
2020-09-10,20328.12,16443.1,39847.54,,
2020-09-13,,,,,12742.45
2020-09-14,,,,,12813.15
2020-09-15,,,,,12807.85
2020-09-16,,,,,12872.01
2020-09-17,20353.06,16582.63,40103.79,,12827.81
2020-09-21,,,,,13190.77
2020-09-24,20375.98,16950.91,40867.79,,13300.11
2020-09-27,,,,,13255.53
2020-09-28,,,,,13434.36
2020-09-30,,,,,13338.55
2020-10-01,20399.88,17138.93,41243.6,,13507.27
2020-10-04,,,,,13395.7
2020-10-05,,,,,13574.54
2020-10-06,,,,,13589.86
2020-10-07,,,,,13516.08
2020-10-08,20426.53,17266.93,41566.05,,13547.04
2020-10-11,,,,,13553.5
2020-10-12,,,,,13517.89
2020-10-14,,,,,13731.15
2020-10-15,20449.14,17507.11,42133.78,,13773.83
2020-10-18,,,,,13957.17
2020-10-19,,,,,14065.64
2020-10-20,,,,,14176.69
2020-10-21,,,,,14067.23
2020-10-22,20473.34,17724.82,42825.51,,14292.92
2020-10-26,,,,,14084.43
2020-10-27,,,,,14011.4
2020-10-28,,,,,13537.81
2020-10-29,20487.44,17057.28,41509.84,,13480.95
2020-11-01,,,,,13640.51
2020-11-02,,,,,13756.47
2020-11-03,,,,,13876.01
2020-11-04,,,,,13956.25
2020-11-05,20524.29,17445.82,42557.89,,13876.91
2020-11-08,,,,,13814.82
2020-11-09,,,,,14044.02
2020-11-10,,,,,13983.25
2020-11-11,,,,,14026.23
2020-11-12,20529.43,17913.12,43815.31,,14272.36
2020-11-15,,,,,14456.62
2020-11-16,,,,,14313.68
2020-11-17,,,,,14592.51
2020-11-18,,,,,14585.05
2020-11-19,20556.59,18685.29,45670.87,,14677.05
2020-11-22,,,,,14707.72
2020-11-23,,,,,14885.97
2020-11-24,,,,,14850.27
2020-11-25,,,,,14891.01
2020-11-26,20585.31,18972.47,46286.34,,15014.2
2020-11-29,,,,,15218.38
2020-11-30,,,,,15261.86
2020-12-01,,,,,15408.47
2020-12-02,,,,,15449.54
2020-12-03,20628.8,19301.77,47636.92,,
2020-12-06,,,,,15425.76
2020-12-07,,,,,15481.7
2020-12-08,,,,,15566.99
2020-12-09,,,,,15720.41
2020-12-10,20664.3,19485.81,47645.08,,15510.05
2020-12-13,,,,,15744.44
2020-12-14,,,,,15925.17
2020-12-15,,,,,15824.4
2020-12-16,,,,,16129.24
2020-12-17,20697.1,19862.12,49205.44,,15974.85
2020-12-20,,,,,16387.0
2020-12-21,,,,,16647.57
2020-12-22,,,,,16800.67
2020-12-23,,,,,16563.12
2020-12-24,20716.91,20028.23,49569.28,,16322.9
2020-12-27,,,,,16660.66
2020-12-28,,,,,16619.58
2020-12-29,,,,,16664.99
2020-12-30,,,,,16704.27
2020-12-31,20756.15,20663.77,51031.62,,
2021-01-03,,20660.06,51025.8,,16972.06
2021-01-05,,21350.62,52429.64,,
2021-01-06,,21580.23,52856.94,,
2021-01-07,20779.52,21774.8,53401.91,,
2021-01-10,,21885.42,53892.11,,
2021-01-11,,22180.44,54590.58,,18443.34
2021-01-12,,22433.54,54973.39,,18570.85
2021-01-13,,22362.24,54736.45,,18583.8
2021-01-14,20817.58,22419.31,54854.06,,18746.86
2021-01-17,,22547.92,55310.58,,18968.92
2021-01-18,,22472.34,55045.93,,18769.17
2021-01-19,,21247.11,52399.14,,17671.69
2021-01-20,,21347.36,52675.76,,17854.68
2021-01-21,20845.17,22103.71,54390.63,,18478.06
2021-01-24,,22194.23,54733.58,,18657.15
2021-01-25,,22281.36,54968.63,,
2021-01-26,,21738.27,53980.24,,
2021-01-27,,20941.84,52161.27,,
2021-01-28,20845.17,19463.36,48674.83,,
2021-01-31,,20169.67,50529.58,,
2021-02-01,,19704.31,49302.93,,
2021-02-02,,20504.84,50877.9,,
2021-02-03,,21217.97,52399.17,,
2021-02-04,20843.94,21334.84,52686.57,,
2021-02-07,,21657.03,53357.25,,
2021-02-08,,20909.81,51781.63,,
2021-02-11,20802.57,21334.84,52686.57,,
2021-02-16,,21436.16,52904.89,,
2021-02-17,,22275.96,54811.59,,
2021-02-18,20829.07,22553.78,55441.56,,
2021-02-21,,22438.58,55213.99,,
2021-02-22,,,55154.69,,
2021-02-23,,22392.21,55174.06,,
2021-02-24,,22175.4,54660.33,,
2021-02-25,20855.95,22287.68,54949.67,,
2021-02-28,,22443.9,55241.34,,
2021-03-01,,22773.76,55978.08,,
2021-03-02,,22779.65,56079.72,,
2021-03-03,,22849.25,56311.19,,
2021-03-04,20961.16,22449.55,55407.1,,
2021-03-07,,22384.63,55400.64,,
2021-03-08,,22423.23,55432.11,,
2021-03-09,,22293.79,55168.67,,
2021-03-10,,22443.0,55570.51,,
2021-03-11,20973.38,22766.0,56292.92,,
2021-03-14,,22741.89,56214.45,,
2021-03-15,,22791.91,56315.47,,
2021-03-16,,22751.74,56251.11,,
2021-03-17,,22840.32,56432.96,,
2021-03-18,20946.13,23125.11,56933.46,,
2021-03-21,,23049.42,56662.59,,
2021-03-22,,22966.71,56398.12,,
2021-03-23,,22733.4,55918.89,,
2021-03-24,,22241.46,54882.94,,
2021-03-25,21024.68,22181.07,54772.87,,
2021-03-28,,22222.92,54882.9,,
2021-03-29,,22439.19,55275.64,,
2021-03-30,,22536.3,55570.65,,
2021-03-31,,22592.05,55857.15,,
2021-04-01,21053.36,23126.48,56927.47,,
2021-04-04,,23318.27,57324.6,,
2021-04-05,,23500.31,57613.77,,
2021-04-06,,23552.64,57655.46,,
2021-04-07,,23633.16,57810.02,,
2021-04-08,21077.76,23558.54,57597.32,,
2021-04-11,,23586.84,57563.41,,
2021-04-12,,24030.52,58331.34,,
2021-04-13,,23755.37,57634.66,,
2021-04-14,,24091.02,58529.81,,
2021-04-15,21104.08,23973.21,58287.81,,
2021-04-18,,23880.5,58012.97,,
2021-04-19,,24461.68,59297.25,,
2021-04-21,,24522.51,59352.09,,
2021-04-22,21129.43,23739.1,57685.97,,
2021-04-25,,24344.21,58996.84,,
2021-04-26,,23775.52,57836.12,,
2021-04-27,,23926.0,58203.18,,
2021-04-28,,24060.65,58558.61,,
2021-04-29,21189.86,23739.1,57685.97,,
2021-05-03,,24487.43,59250.37,,
2021-05-04,,24849.14,59894.95,,
2021-05-05,,25066.92,60519.1,,
2021-05-06,21222.65,25030.82,60463.09,,
2021-05-09,,25055.62,60554.5,,
2021-05-10,,25383.93,61396.61,,
2021-05-11,,25270.36,61186.44,,
2021-05-12,,25638.5,62202.05,,
2021-05-13,21248.37,25511.13,61782.44,,
2021-05-16,,25555.6,61866.87,,
2021-05-17,,25479.74,61515.33,,
2021-05-18,,25512.04,61892.19,,
2021-05-19,,25878.25,62849.2,,
2021-05-20,21282.9,26200.32,63649.4,,
2021-05-23,,26226.69,63471.88,,
2021-05-24,,26480.07,63709.92,,
2021-05-25,,26743.5,64449.54,,
2021-05-26,,26881.63,64717.82,,
2021-05-27,21300.61,26595.22,63649.4,,
2021-05-28,,,64035.96,,
2021-05-30,,26872.6,65017.68,,
2021-05-31,,27329.06,66307.95,,
2021-06-01,,27645.36,66788.56,,
2021-06-02,,27673.32,66856.37,,
2021-06-03,21360.0,28173.67,67796.19,,
2021-06-06,,28250.84,68031.12,,
2021-06-07,,27686.31,66807.47,,
2021-06-08,,26729.2,64629.9,,
2021-06-09,,27140.86,65418.51,,
2021-06-10,21388.38,27021.15,65453.08,,
2021-06-13,,27694.07,66982.99,9309.14,
2021-06-14,,27858.48,67410.89,9310.28,
2021-06-15,,27855.98,67285.83,9311.27,
2021-06-16,,27515.15,66477.72,9307.47,
2021-06-17,21412.45,27589.71,66705.5,9313.54,
2021-06-20,,27918.8,67549.75,9317.64,
2021-06-21,,27821.72,67447.16,9320.05,
2021-06-22,,28072.53,67682.77,9321.36,
2021-06-23,,28092.84,67625.14,9313.25,
2021-06-24,21432.88,28036.81,67410.66,9314.76,
2021-06-27,,28246.42,67965.32,9328.04,
2021-06-28,,28670.44,69121.09,9329.54,
2021-06-29,,28742.87,69129.1,9330.91,
2021-06-30,,28714.77,69108.95,9332.44,
2021-07-01,21466.89,29008.96,70004.92,9333.94,
2021-07-04,,29180.79,70485.91,9338.51,
2021-07-05,,29219.48,70907.25,9340.04,
2021-07-06,,27867.33,67634.45,9341.56,
2021-07-07,,28694.38,69283.88,9343.08,
2021-07-08,21484.7,28370.04,68674.4,9344.61,
2021-07-11,,27868.84,67631.03,9349.18,
2021-07-12,,26739.54,65212.77,9350.69,
2021-07-13,,26816.51,65466.55,9352.21,
2021-07-14,,26224.62,64237.57,9353.73,
2021-07-15,21523.3,26735.63,65502.06,9355.26,
2021-07-18,,26855.33,65905.57,9359.82,
2021-07-19,,25635.71,63302.94,9361.38,
